date=2026-05-22, mr20=57.3844%, u4=46, d4=19, w20=21, universe=887
date=2023-06-30, mr20=75.5043%, u4=39, d4=5, w20=7, universe=694
date=2023-06-28, mr20=71.14%, u4=29, d4=2, w20=3, universe=693
date=2023-06-27, mr20=69.3084%, u4=43, d4=2, w20=4, universe=694
date=2023-06-26, mr20=65.4676%, u4=36, d4=1, w20=6, universe=695
date=2023-06-23, mr20=59.9424%, u4=14, d4=15, w20=2, universe=694
date=2023-06-22, mr20=73.0548%, u4=15, d4=4, w20=4, universe=694
date=2023-06-21, mr20=83.8617%, u4=34, d4=5, w20=6, universe=694
date=2023-06-20, mr20=82.853%, u4=53, d4=6, w20=9, universe=694
date=2023-06-19, mr20=83.4294%, u4=38, d4=5, w20=7, universe=694
date=2023-06-16, mr20=83.5735%, u4=40, d4=1, w20=7, universe=694
date=2023-06-15, mr20=79.9712%, u4=33, d4=4, w20=8, universe=694
date=2023-06-14, mr20=82.7089%, u4=34, d4=4, w20=3, universe=694
date=2023-06-13, mr20=82.7089%, u4=47, d4=1, w20=4, universe=694
date=2023-06-12, mr20=79.1066%, u4=53, d4=1, w20=6, universe=694
date=2023-06-09, mr20=75.9366%, u4=27, d4=6, w20=9, universe=694
date=2023-06-08, mr20=81.0967%, u4=18, d4=5, w20=9, universe=693
date=2023-06-07, mr20=85.1371%, u4=50, d4=0, w20=16, universe=693
date=2023-06-06, mr20=81.8182%, u4=46, d4=4, w20=14, universe=693
date=2023-06-05, mr20=80.3752%, u4=46, d4=7, w20=16, universe=693
date=2023-06-02, mr20=77.0563%, u4=47, d4=0, w20=12, universe=693
date=2023-06-01, mr20=72.1501%, u4=44, d4=4, w20=11, universe=693
date=2023-05-31, mr20=69.4084%, u4=47, d4=11, w20=7, universe=693
date=2023-05-30, mr20=69.9422%, u4=26, d4=11, w20=8, universe=692
date=2023-05-29, mr20=71.14%, u4=22, d4=13, w20=5, universe=693
date=2023-05-26, mr20=68.7861%, u4=32, d4=7, w20=5, universe=692
date=2023-05-25, mr20=64.9351%, u4=28, d4=6, w20=5, universe=693
date=2023-05-24, mr20=66.3781%, u4=32, d4=13, w20=7, universe=693
date=2023-05-23, mr20=69.8413%, u4=25, d4=10, w20=7, universe=693
date=2023-05-22, mr20=67.1965%, u4=32, d4=15, w20=8, universe=692
date=2023-05-19, mr20=64.7908%, u4=17, d4=7, w20=3, universe=693
date=2023-05-18, mr20=68.6869%, u4=28, d4=12, w20=4, universe=693
date=2023-05-17, mr20=74.711%, u4=28, d4=7, w20=5, universe=692
date=2023-05-16, mr20=76.4791%, u4=31, d4=3, w20=7, universe=693
date=2023-05-15, mr20=78.3237%, u4=38, d4=10, w20=8, universe=692
date=2023-05-12, mr20=75.289%, u4=38, d4=9, w20=6, universe=692
date=2023-05-11, mr20=80.1737%, u4=32, d4=5, w20=6, universe=691
date=2023-05-10, mr20=79.0462%, u4=36, d4=5, w20=3, universe=692
date=2023-05-09, mr20=79.4798%, u4=20, d4=12, w20=4, universe=692
date=2023-05-08, mr20=82.9233%, u4=45, d4=8, w20=5, universe=691
date=2023-05-05, mr20=80.6078%, u4=21, d4=19, w20=7, universe=691
date=2023-05-04, mr20=87.9884%, u4=38, d4=1, w20=5, universe=691
date=2023-05-03, mr20=83.3575%, u4=31, d4=8, w20=6, universe=691
date=2023-05-02, mr20=86.9754%, u4=41, d4=8, w20=9, universe=691
date=2023-04-28, mr20=85.3835%, u4=40, d4=7, w20=8, universe=691
date=2023-04-27, mr20=79.3054%, u4=30, d4=2, w20=4, universe=691
date=2023-04-26, mr20=76.9899%, u4=36, d4=3, w20=4, universe=691
date=2023-04-25, mr20=73.1495%, u4=33, d4=6, w20=2, universe=689
date=2023-04-24, mr20=71.7391%, u4=34, d4=2, w20=2, universe=690
date=2023-04-21, mr20=70.4348%, u4=15, d4=6, w20=2, universe=690
date=2023-04-20, mr20=77.5036%, u4=21, d4=1, w20=5, universe=689
date=2023-04-19, mr20=78.1159%, u4=24, d4=1, w20=8, universe=690
date=2023-04-18, mr20=79.2754%, u4=22, d4=6, w20=8, universe=690
date=2023-04-17, mr20=77.6488%, u4=29, d4=10, w20=13, universe=689
date=2023-04-13, mr20=77.939%, u4=31, d4=3, w20=8, universe=689
date=2023-04-12, mr20=79.971%, u4=28, d4=4, w20=12, universe=689
date=2023-04-11, mr20=77.3585%, u4=38, d4=3, w20=22, universe=689
date=2023-04-10, mr20=73.2946%, u4=33, d4=1, w20=24, universe=689
date=2023-04-06, mr20=74.3106%, u4=53, d4=4, w20=27, universe=689
date=2023-04-05, mr20=66.7634%, u4=51, d4=3, w20=12, universe=689
date=2023-04-03, mr20=57.6197%, u4=71, d4=6, w20=3, universe=689
date=2023-03-31, mr20=41.5094%, u4=51, d4=5, w20=1, universe=689
date=2023-03-29, mr20=29.463%, u4=99, d4=9, w20=0, universe=689
date=2023-03-28, mr20=16.6909%, u4=11, d4=32, w20=1, universe=689
date=2023-03-27, mr20=17.9971%, u4=7, d4=62, w20=3, universe=689
date=2023-03-24, mr20=21.9158%, u4=9, d4=28, w20=2, universe=689
date=2023-03-23, mr20=29.6081%, u4=18, d4=8, w20=3, universe=689
date=2023-03-22, mr20=31.3498%, u4=25, d4=1, w20=3, universe=689
date=2023-03-21, mr20=27.4311%, u4=40, d4=2, w20=1, universe=689
date=2023-03-20, mr20=20.3193%, u4=7, d4=27, w20=0, universe=689
date=2023-03-17, mr20=27.4311%, u4=30, d4=7, w20=0, universe=689
date=2023-03-16, mr20=22.7866%, u4=12, d4=20, w20=0, universe=689
date=2023-03-15, mr20=21.9158%, u4=16, d4=6, w20=2, universe=689
date=2023-03-14, mr20=18.8679%, u4=10, d4=25, w20=3, universe=689
date=2023-03-13, mr20=22.9318%, u4=3, d4=67, w20=8, universe=689
date=2023-03-10, mr20=42.09%, u4=16, d4=4, w20=10, universe=689
date=2023-03-09, mr20=49.7823%, u4=17, d4=4, w20=12, universe=689
date=2023-03-08, mr20=54.1364%, u4=37, d4=1, w20=13, universe=689
date=2023-03-06, mr20=51.5239%, u4=42, d4=1, w20=12, universe=689
date=2023-03-03, mr20=41.8605%, u4=42, d4=0, w20=4, universe=688
date=2023-03-02, mr20=30.0872%, u4=20, d4=0, w20=3, universe=688
date=2023-03-01, mr20=32.9942%, u4=47, d4=0, w20=1, universe=688
date=2023-02-28, mr20=21.5116%, u4=30, d4=10, w20=1, universe=688
date=2023-02-27, mr20=19.0407%, u4=6, d4=45, w20=1, universe=688
date=2023-02-24, mr20=27.0349%, u4=21, d4=15, w20=0, universe=688
date=2023-02-23, mr20=27.7616%, u4=21, d4=11, w20=0, universe=688
date=2023-02-22, mr20=28.4884%, u4=6, d4=39, w20=1, universe=688
date=2023-02-21, mr20=36.9186%, u4=20, d4=9, w20=5, universe=688
date=2023-02-20, mr20=37.5%, u4=21, d4=9, w20=1, universe=688
date=2023-02-17, mr20=40.6114%, u4=12, d4=8, w20=2, universe=687
date=2023-02-16, mr20=43.2314%, u4=42, d4=6, w20=0, universe=687
date=2023-02-15, mr20=37.2635%, u4=29, d4=16, w20=1, universe=687
date=2023-02-14, mr20=33.6245%, u4=9, d4=25, w20=1, universe=687
date=2023-02-13, mr20=37.2635%, u4=19, d4=29, w20=2, universe=687
date=2023-02-10, mr20=41.9214%, u4=27, d4=11, w20=4, universe=687
date=2023-02-09, mr20=38.5735%, u4=31, d4=10, w20=7, universe=687
date=2023-02-08, mr20=37.8457%, u4=40, d4=8, w20=2, universe=687
date=2023-02-07, mr20=33.4789%, u4=30, d4=15, w20=1, universe=687
date=2023-02-06, mr20=32.46%, u4=35, d4=20, w20=4, universe=687
date=2023-02-03, mr20=27.5109%, u4=11, d4=25, w20=2, universe=687
date=2023-02-02, mr20=28.0932%, u4=22, d4=15, w20=2, universe=687
date=2023-02-01, mr20=23.7263%, u4=13, d4=79, w20=2, universe=687
date=2023-01-31, mr20=34.5481%, u4=101, d4=6, w20=3, universe=686
date=2023-01-30, mr20=18.8047%, u4=27, d4=14, w20=3, universe=686
date=2023-01-27, mr20=18.3673%, u4=11, d4=104, w20=4, universe=686
date=2023-01-25, mr20=29.7376%, u4=10, d4=27, w20=5, universe=686
date=2023-01-24, mr20=37.9009%, u4=17, d4=10, w20=2, universe=686
date=2023-01-23, mr20=43.8137%, u4=21, d4=14, w20=4, universe=687
date=2023-01-20, mr20=40.2332%, u4=19, d4=8, w20=1, universe=686
date=2023-01-19, mr20=46.2099%, u4=16, d4=3, w20=2, universe=686
date=2023-01-18, mr20=47.8134%, u4=21, d4=5, w20=3, universe=686
date=2023-01-17, mr20=43.8776%, u4=19, d4=4, w20=1, universe=686
date=2023-01-16, mr20=44.8326%, u4=17, d4=6, w20=2, universe=687
date=2023-01-13, mr20=46.0641%, u4=26, d4=3, w20=3, universe=686
date=2023-01-12, mr20=40.9621%, u4=16, d4=6, w20=3, universe=686
date=2023-01-11, mr20=40.6706%, u4=23, d4=2, w20=2, universe=686
date=2023-01-10, mr20=41.5452%, u4=13, d4=7, w20=1, universe=686
date=2023-01-09, mr20=46.9388%, u4=20, d4=4, w20=1, universe=686
date=2023-01-06, mr20=37.4636%, u4=12, d4=5, w20=3, universe=686
date=2023-01-05, mr20=46.8613%, u4=15, d4=5, w20=5, universe=685
date=2023-01-04, mr20=43.3577%, u4=17, d4=2, w20=4, universe=685
date=2023-01-03, mr20=55.1825%, u4=28, d4=2, w20=4, universe=685
date=2023-01-02, mr20=51.895%, u4=47, d4=5, w20=9, universe=686
date=2022-12-30, mr20=42.3358%, u4=33, d4=1, w20=24, universe=685
date=2022-12-29, mr20=36.7883%, u4=30, d4=2, w20=2, universe=685
date=2022-12-28, mr20=33.6257%, u4=41, d4=0, w20=1, universe=684
date=2022-12-27, mr20=28.2164%, u4=77, d4=1, w20=0, universe=684
date=2022-12-26, mr20=15.9124%, u4=90, d4=1, w20=1, universe=685
date=2022-12-23, mr20=5.9942%, u4=3, d4=201, w20=2, universe=684
date=2022-12-22, mr20=17.8363%, u4=7, d4=60, w20=0, universe=684
date=2022-12-21, mr20=27.1533%, u4=11, d4=121, w20=5, universe=685
date=2022-12-20, mr20=46.5693%, u4=22, d4=6, w20=10, universe=685
date=2022-12-19, mr20=48.4672%, u4=33, d4=7, w20=8, universe=685
date=2022-12-16, mr20=41.6058%, u4=17, d4=12, w20=5, universe=685
date=2022-12-15, mr20=53.7226%, u4=19, d4=11, w20=7, universe=685
date=2022-12-14, mr20=61.3139%, u4=30, d4=4, w20=4, universe=685
date=2022-12-13, mr20=56.3504%, u4=46, d4=3, w20=5, universe=685
date=2022-12-12, mr20=54.1606%, u4=31, d4=4, w20=4, universe=685
date=2022-12-09, mr20=51.5328%, u4=14, d4=26, w20=2, universe=685
date=2022-12-08, mr20=62.1345%, u4=31, d4=3, w20=6, universe=684
date=2022-12-07, mr20=62.7737%, u4=19, d4=3, w20=4, universe=685
date=2022-12-06, mr20=68.0292%, u4=19, d4=1, w20=6, universe=685
date=2022-12-05, mr20=72.4088%, u4=48, d4=10, w20=7, universe=685
date=2022-12-02, mr20=73.1387%, u4=50, d4=2, w20=9, universe=685
date=2022-12-01, mr20=70.219%, u4=32, d4=0, w20=7, universe=685
date=2022-11-30, mr20=66.7153%, u4=42, d4=5, w20=6, universe=685
date=2022-11-29, mr20=60.292%, u4=34, d4=5, w20=7, universe=685
date=2022-11-28, mr20=60.438%, u4=52, d4=4, w20=6, universe=685
date=2022-11-25, mr20=54.8905%, u4=44, d4=0, w20=4, universe=685
date=2022-11-24, mr20=49.1971%, u4=46, d4=1, w20=4, universe=685
date=2022-11-23, mr20=43.7956%, u4=40, d4=3, w20=4, universe=685
date=2022-11-22, mr20=40.4971%, u4=15, d4=12, w20=3, universe=684
date=2022-11-21, mr20=39.9707%, u4=23, d4=16, w20=3, universe=683
date=2022-11-18, mr20=42.1439%, u4=27, d4=8, w20=6, universe=681
date=2022-11-17, mr20=46.2555%, u4=17, d4=10, w20=4, universe=681
date=2022-11-16, mr20=49.0455%, u4=21, d4=14, w20=3, universe=681
date=2022-11-15, mr20=53.1664%, u4=25, d4=13, w20=3, universe=679
date=2022-11-14, mr20=52.6549%, u4=49, d4=22, w20=5, universe=678
date=2022-11-11, mr20=53.9823%, u4=36, d4=23, w20=6, universe=678
date=2022-11-10, mr20=52.4372%, u4=14, d4=34, w20=13, universe=677
date=2022-11-09, mr20=59.8227%, u4=37, d4=33, w20=12, universe=677
date=2022-11-07, mr20=65.5835%, u4=44, d4=8, w20=12, universe=677
date=2022-11-04, mr20=63.3678%, u4=50, d4=5, w20=8, universe=677
date=2022-11-03, mr20=60.2659%, u4=39, d4=5, w20=7, universe=677
date=2022-11-02, mr20=58.9365%, u4=33, d4=4, w20=6, universe=677
date=2022-11-01, mr20=59.3796%, u4=33, d4=11, w20=3, universe=677
date=2022-10-31, mr20=55.5391%, u4=32, d4=16, w20=4, universe=677
date=2022-10-28, mr20=49.7041%, u4=19, d4=11, w20=5, universe=676
date=2022-10-27, mr20=54.4379%, u4=25, d4=11, w20=3, universe=676
date=2022-10-25, mr20=48.6686%, u4=35, d4=11, w20=5, universe=676
date=2022-10-24, mr20=51.4032%, u4=14, d4=3, w20=5, universe=677
date=2022-10-21, mr20=40.9763%, u4=26, d4=21, w20=3, universe=676
date=2022-10-20, mr20=49.1124%, u4=23, d4=14, w20=3, universe=676
date=2022-10-19, mr20=46.0059%, u4=18, d4=6, w20=2, universe=676
date=2022-10-18, mr20=45.3333%, u4=36, d4=4, w20=2, universe=675
date=2022-10-17, mr20=35.0592%, u4=18, d4=13, w20=1, universe=676
date=2022-10-14, mr20=34.8665%, u4=16, d4=4, w20=2, universe=674
date=2022-10-13, mr20=32.9377%, u4=14, d4=5, w20=3, universe=674
date=2022-10-12, mr20=37.9822%, u4=23, d4=2, w20=5, universe=674
date=2022-10-11, mr20=36.4985%, u4=12, d4=27, w20=6, universe=674
date=2022-10-10, mr20=50.6667%, u4=26, d4=8, w20=6, universe=675
date=2022-10-07, mr20=58.0119%, u4=36, d4=2, w20=7, universe=674
date=2022-10-06, mr20=55.638%, u4=74, d4=3, w20=6, universe=674
date=2022-10-04, mr20=46.2908%, u4=60, d4=0, w20=1, universe=674
date=2022-10-03, mr20=29.7778%, u4=21, d4=27, w20=2, universe=675
date=2022-09-30, mr20=35.3116%, u4=50, d4=3, w20=0, universe=674
date=2022-09-29, mr20=24.3323%, u4=29, d4=12, w20=1, universe=674
date=2022-09-28, mr20=19.8813%, u4=11, d4=14, w20=0, universe=674
date=2022-09-27, mr20=21.6617%, u4=28, d4=4, w20=1, universe=674
date=2022-09-26, mr20=16.5926%, u4=3, d4=198, w20=4, universe=675
date=2022-09-23, mr20=33.3828%, u4=6, d4=42, w20=3, universe=674
date=2022-09-22, mr20=52.5223%, u4=29, d4=4, w20=2, universe=674
date=2022-09-21, mr20=49.7778%, u4=20, d4=13, w20=6, universe=675
date=2022-09-20, mr20=57.037%, u4=45, d4=2, w20=6, universe=675
date=2022-09-19, mr20=47.8519%, u4=33, d4=8, w20=10, universe=675
date=2022-09-16, mr20=51.5556%, u4=12, d4=98, w20=5, universe=675
date=2022-09-15, mr20=73.7778%, u4=42, d4=4, w20=5, universe=675
date=2022-09-14, mr20=76.5579%, u4=33, d4=9, w20=8, universe=674
date=2022-09-13, mr20=84.1246%, u4=32, d4=9, w20=6, universe=674
date=2022-09-12, mr20=82.3704%, u4=48, d4=3, w20=4, universe=675
date=2022-09-09, mr20=79.5252%, u4=20, d4=12, w20=3, universe=674
date=2022-09-08, mr20=80.2671%, u4=45, d4=4, w20=8, universe=674
date=2022-09-07, mr20=77.4481%, u4=48, d4=3, w20=9, universe=674
date=2022-09-06, mr20=75.9287%, u4=33, d4=3, w20=14, universe=673
date=2022-09-05, mr20=75.5193%, u4=50, d4=6, w20=8, universe=674
date=2022-09-02, mr20=72.214%, u4=40, d4=2, w20=10, universe=673
date=2022-09-01, mr20=76.6716%, u4=43, d4=7, w20=11, universe=673
date=2022-08-30, mr20=78.5714%, u4=50, d4=2, w20=11, universe=672
date=2022-08-29, mr20=64.3917%, u4=29, d4=10, w20=17, universe=674
date=2022-08-26, mr20=74.5536%, u4=41, d4=4, w20=14, universe=672
date=2022-08-25, mr20=70.9389%, u4=49, d4=3, w20=10, universe=671
date=2022-08-24, mr20=68.4054%, u4=49, d4=0, w20=10, universe=671
date=2022-08-23, mr20=62.1461%, u4=43, d4=5, w20=5, universe=671
date=2022-08-22, mr20=54.5319%, u4=22, d4=20, w20=9, universe=673
date=2022-08-19, mr20=72.5782%, u4=19, d4=8, w20=8, universe=671
date=2022-08-18, mr20=80.6259%, u4=34, d4=2, w20=8, universe=671
date=2022-08-17, mr20=80.3279%, u4=38, d4=4, w20=4, universe=671
date=2022-08-16, mr20=76.8202%, u4=57, d4=11, w20=6, universe=673
date=2022-08-12, mr20=73.3234%, u4=29, d4=9, w20=5, universe=671
date=2022-08-11, mr20=73.1744%, u4=32, d4=8, w20=4, universe=671
date=2022-08-10, mr20=72.1311%, u4=28, d4=29, w20=3, universe=671
date=2022-08-08, mr20=77.4146%, u4=34, d4=10, w20=4, universe=673
date=2022-08-05, mr20=76.304%, u4=34, d4=13, w20=3, universe=671
date=2022-08-04, mr20=77.0492%, u4=36, d4=9, w20=6, universe=671
date=2022-08-03, mr20=80.6259%, u4=26, d4=9, w20=9, universe=671
date=2022-08-02, mr20=86.1401%, u4=49, d4=7, w20=13, universe=671
date=2022-08-01, mr20=87.8158%, u4=83, d4=9, w20=1, universe=673
date=2022-07-29, mr20=83.4575%, u4=61, d4=6, w20=2, universe=671
date=2022-07-28, mr20=75.2608%, u4=30, d4=9, w20=1, universe=671
date=2022-07-27, mr20=71.0879%, u4=22, d4=7, w20=3, universe=671
date=2022-07-26, mr20=66.766%, u4=15, d4=30, w20=4, universe=671
date=2022-07-25, mr20=80.9807%, u4=22, d4=13, w20=3, universe=673
date=2022-07-22, mr20=89.1207%, u4=34, d4=5, w20=6, universe=671
date=2022-07-21, mr20=89.1207%, u4=40, d4=4, w20=1, universe=671
date=2022-07-20, mr20=87.3323%, u4=37, d4=4, w20=1, universe=671
date=2022-07-19, mr20=83.9046%, u4=46, d4=0, w20=6, universe=671
date=2022-07-18, mr20=78.6033%, u4=65, d4=0, w20=5, universe=673
date=2022-07-15, mr20=65.5738%, u4=25, d4=4, w20=3, universe=671
date=2022-07-14, mr20=64.5306%, u4=14, d4=8, w20=0, universe=671
date=2022-07-13, mr20=71.535%, u4=26, d4=8, w20=4, universe=671
date=2022-07-12, mr20=73.7705%, u4=15, d4=5, w20=6, universe=671
date=2022-07-11, mr20=78.2738%, u4=56, d4=3, w20=9, universe=672
date=2022-07-08, mr20=72.4292%, u4=23, d4=1, w20=3, universe=671
date=2022-07-07, mr20=72.1311%, u4=76, d4=2, w20=7, universe=671
date=2022-07-06, mr20=57.5261%, u4=51, d4=10, w20=4, universe=671
date=2022-07-05, mr20=50.3726%, u4=17, d4=6, w20=3, universe=671
date=2022-07-04, mr20=48.9583%, u4=47, d4=1, w20=4, universe=672
date=2022-07-01, mr20=40.6855%, u4=26, d4=9, w20=4, universe=671
date=2022-06-30, mr20=35.9165%, u4=10, d4=17, w20=8, universe=671
date=2022-06-29, mr20=42.1759%, u4=19, d4=13, w20=7, universe=671
date=2022-06-28, mr20=45.2239%, u4=42, d4=5, w20=2, universe=670
date=2022-06-27, mr20=42.1131%, u4=53, d4=4, w20=8, universe=672
date=2022-06-24, mr20=30.2534%, u4=66, d4=1, w20=1, universe=671
date=2022-06-23, mr20=16.9896%, u4=47, d4=6, w20=1, universe=671
date=2022-06-22, mr20=8.3458%, u4=8, d4=24, w20=0, universe=671
date=2022-06-21, mr20=12.6677%, u4=85, d4=2, w20=2, universe=671
date=2022-06-20, mr20=5.506%, u4=4, d4=154, w20=2, universe=672
date=2022-06-17, mr20=7.6119%, u4=17, d4=49, w20=1, universe=670
date=2022-06-16, mr20=7.8987%, u4=3, d4=158, w20=2, universe=671
date=2022-06-15, mr20=16.3934%, u4=25, d4=5, w20=3, universe=671
date=2022-06-14, mr20=13.2638%, u4=15, d4=19, w20=3, universe=671
date=2022-06-13, mr20=13.3929%, u4=0, d4=165, w20=2, universe=672
date=2022-06-10, mr20=32.3398%, u4=11, d4=7, w20=3, universe=671
date=2022-06-09, mr20=39.9404%, u4=32, d4=6, w20=5, universe=671
date=2022-06-08, mr20=37.2578%, u4=25, d4=11, w20=5, universe=671
date=2022-06-07, mr20=35.1714%, u4=10, d4=12, w20=6, universe=671
date=2022-06-06, mr20=44.0476%, u4=20, d4=11, w20=6, universe=672
date=2022-06-03, mr20=47.839%, u4=13, d4=22, w20=9, universe=671
date=2022-06-02, mr20=57.1642%, u4=46, d4=2, w20=12, universe=670
date=2022-06-01, mr20=50.6726%, u4=39, d4=7, w20=10, universe=669
date=2022-05-31, mr20=48.8789%, u4=63, d4=26, w20=2, universe=669
date=2022-05-30, mr20=46.5672%, u4=100, d4=5, w20=2, universe=670
date=2022-05-27, mr20=28.8922%, u4=39, d4=7, w20=1, universe=668
date=2022-05-26, mr20=21.5569%, u4=53, d4=14, w20=0, universe=668
date=2022-05-25, mr20=15.1198%, u4=7, d4=112, w20=0, universe=668
date=2022-05-24, mr20=25.4873%, u4=11, d4=44, w20=3, universe=667
date=2022-05-23, mr20=30.6886%, u4=28, d4=35, w20=10, universe=668
date=2022-05-20, mr20=31.6342%, u4=97, d4=5, w20=17, universe=667
date=2022-05-19, mr20=16.9415%, u4=11, d4=58, w20=14, universe=667
date=2022-05-18, mr20=28.1859%, u4=55, d4=13, w20=9, universe=667
date=2022-05-17, mr20=23.988%, u4=140, d4=2, w20=3, universe=667
date=2022-05-16, mr20=13.1934%, u4=49, d4=14, w20=2, universe=667
date=2022-05-13, mr20=6.9069%, u4=76, d4=13, w20=0, universe=666
date=2022-05-12, mr20=3.4535%, u4=6, d4=56, w20=0, universe=666
date=2022-05-11, mr20=5.4054%, u4=18, d4=123, w20=0, universe=666
date=2022-05-10, mr20=6.8966%, u4=6, d4=80, w20=0, universe=667
date=2022-05-09, mr20=10.8271%, u4=13, d4=54, w20=0, universe=665
date=2022-05-06, mr20=12.4812%, u4=8, d4=77, w20=1, universe=665
date=2022-05-05, mr20=18.0451%, u4=19, d4=20, w20=3, universe=665
date=2022-05-04, mr20=19.2481%, u4=7, d4=84, w20=4, universe=665
date=2022-05-02, mr20=32.4324%, u4=24, d4=25, w20=6, universe=666
date=2022-04-29, mr20=39.2481%, u4=16, d4=26, w20=3, universe=665
date=2022-04-28, mr20=46.6165%, u4=26, d4=4, w20=4, universe=665
date=2022-04-27, mr20=42.7711%, u4=20, d4=20, w20=7, universe=664
date=2022-04-26, mr20=50.6767%, u4=53, d4=5, w20=7, universe=665
date=2022-04-25, mr20=41.8919%, u4=13, d4=57, w20=11, universe=666
date=2022-04-22, mr20=61.6541%, u4=28, d4=10, w20=12, universe=665
date=2022-04-21, mr20=68.8722%, u4=59, d4=4, w20=13, universe=665
date=2022-04-20, mr20=58.4962%, u4=30, d4=5, w20=8, universe=665
date=2022-04-19, mr20=53.985%, u4=22, d4=26, w20=9, universe=665
date=2022-04-18, mr20=66.5165%, u4=39, d4=31, w20=18, universe=666
date=2022-04-13, mr20=77.8947%, u4=43, d4=2, w20=13, universe=665
date=2022-04-12, mr20=77.594%, u4=21, d4=18, w20=8, universe=665
date=2022-04-11, mr20=88.7048%, u4=53, d4=5, w20=17, universe=664
date=2022-04-08, mr20=90.0302%, u4=40, d4=3, w20=21, universe=662
date=2022-04-07, mr20=87.1407%, u4=40, d4=12, w20=37, universe=661
date=2022-04-06, mr20=91.3636%, u4=52, d4=7, w20=31, universe=660
date=2022-04-05, mr20=93.7973%, u4=79, d4=5, w20=22, universe=661
date=2022-04-04, mr20=91.0876%, u4=98, d4=1, w20=16, universe=662
date=2022-04-01, mr20=79.0909%, u4=124, d4=3, w20=8, universe=660
date=2022-03-31, mr20=53.9394%, u4=33, d4=7, w20=7, universe=660
date=2022-03-30, mr20=54.5455%, u4=46, d4=7, w20=7, universe=660
date=2022-03-29, mr20=46.5152%, u4=58, d4=14, w20=6, universe=660
date=2022-03-28, mr20=43.9394%, u4=28, d4=35, w20=7, universe=660
date=2022-03-25, mr20=51.2158%, u4=20, d4=7, w20=5, universe=658
date=2022-03-24, mr20=57.1429%, u4=31, d4=5, w20=5, universe=658
date=2022-03-23, mr20=56.9909%, u4=25, d4=5, w20=7, universe=658
date=2022-03-22, mr20=58.0793%, u4=24, d4=2, w20=3, universe=656
date=2022-03-21, mr20=56.079%, u4=41, d4=9, w20=3, universe=658
date=2022-03-17, mr20=61.3394%, u4=70, d4=6, w20=6, universe=657
date=2022-03-16, mr20=49.3151%, u4=49, d4=2, w20=6, universe=657
date=2022-03-15, mr20=35.061%, u4=11, d4=26, w20=9, universe=656
date=2022-03-14, mr20=43.769%, u4=29, d4=11, w20=16, universe=658
date=2022-03-11, mr20=47.1037%, u4=38, d4=1, w20=5, universe=656
date=2022-03-10, mr20=39.4817%, u4=43, d4=4, w20=3, universe=656
date=2022-03-09, mr20=29.1159%, u4=103, d4=2, w20=2, universe=656
date=2022-03-08, mr20=17.5305%, u4=46, d4=7, w20=3, universe=656
date=2022-03-07, mr20=11.3982%, u4=11, d4=104, w20=3, universe=658
date=2022-03-04, mr20=15.8537%, u4=7, d4=42, w20=8, universe=656
date=2022-03-03, mr20=21.3415%, u4=36, d4=16, w20=2, universe=656
date=2022-03-02, mr20=16.0061%, u4=47, d4=8, w20=4, universe=656
date=2022-02-28, mr20=14.4377%, u4=49, d4=12, w20=1, universe=658
date=2022-02-25, mr20=9.7561%, u4=66, d4=6, w20=0, universe=656
date=2022-02-24, mr20=1.5244%, u4=2, d4=449, w20=0, universe=656
date=2022-02-23, mr20=10.9756%, u4=39, d4=2, w20=2, universe=656
date=2022-02-22, mr20=7.1646%, u4=7, d4=64, w20=2, universe=656
date=2022-02-21, mr20=9.5745%, u4=7, d4=110, w20=2, universe=658
date=2022-02-18, mr20=17.0732%, u4=14, d4=15, w20=1, universe=656
date=2022-02-17, mr20=20.4268%, u4=13, d4=7, w20=1, universe=656
date=2022-02-16, mr20=22.2561%, u4=37, d4=5, w20=1, universe=656
date=2022-02-15, mr20=18.5976%, u4=68, d4=10, w20=2, universe=656
date=2022-02-14, mr20=9.4225%, u4=1, d4=259, w20=0, universe=658
date=2022-02-11, mr20=26.2195%, u4=11, d4=38, w20=4, universe=656
date=2022-02-10, mr20=38.4146%, u4=27, d4=14, w20=4, universe=656
date=2022-02-09, mr20=36.7378%, u4=27, d4=8, w20=2, universe=656
date=2022-02-08, mr20=31.5549%, u4=4, d4=33, w20=5, universe=656
date=2022-02-07, mr20=38.965%, u4=25, d4=23, w20=9, universe=657
date=2022-02-04, mr20=48.2443%, u4=24, d4=10, w20=11, universe=655
date=2022-02-03, mr20=54.8092%, u4=31, d4=8, w20=12, universe=655
date=2022-02-02, mr20=59.633%, u4=78, d4=5, w20=12, universe=654
date=2022-02-01, mr20=45.7187%, u4=57, d4=5, w20=8, universe=654
date=2022-01-31, mr20=39.4817%, u4=40, d4=9, w20=2, universe=656
date=2022-01-28, mr20=29.9694%, u4=32, d4=15, w20=1, universe=654
date=2022-01-27, mr20=27.0642%, u4=40, d4=27, w20=3, universe=654
date=2022-01-25, mr20=22.9358%, u4=32, d4=14, w20=3, universe=654
date=2022-01-24, mr20=16.311%, u4=2, d4=248, w20=1, universe=656
date=2022-01-21, mr20=41.7431%, u4=9, d4=57, w20=4, universe=654
date=2022-01-20, mr20=60.8563%, u4=34, d4=10, w20=4, universe=654
date=2022-01-19, mr20=64.2202%, u4=25, d4=12, w20=6, universe=654
